,SHFEMR.COPPER.HEDGERS.B,SHFEMR.COPPER.SPECULATORS.B,SHFEMR.ALUMINA.HEDGERS.B,SHFEMR.ALUMINA.SPECULATORS.B,SHFEMR.LEAD.HEDGERS.B,SHFEMR.LEAD.SPECULATORS.B,SHFEMR.ZINC.HEDGERS.B,SHFEMR.ZINC.SPECULATORS.B,SHFEMR.ALUMINIUM.HEDGERS.B,SHFEMR.ALUMINIUM.SPECULATORS.B,SHFEMR.GOLD.HEDGERS.B,SHFEMR.GOLD.SPECULATORS.B,SHFEMR.NICKEL.HEDGERS.B,SHFEMR.NICKEL.SPECULATORS.B,SHFEMR.REBAR.HEDGERS.B,SHFEMR.REBAR.SPECULATORS.B,SHFEMR.PULP.HEDGERS.B,SHFEMR.PULP.SPECULATORS.B,SHFEMR.NATURRUBBER.HEDGERS.B,SHFEMR.NATURRUBBER.SPECULATORS.B,SHFEMR.SILVER.HEDGERS.B,SHFEMR.SILVER.SPECULATORS.B,SHFEMR.FUELOIL.HEDGERS.B,SHFEMR.FUELOIL.SPECULATORS.B,SHFEMR.PETASPHALT.HEDGERS.B,SHFEMR.PETASPHALT.SPECULATORS.B,SHFEMR.WIREROD.HEDGERS.B,SHFEMR.WIREROD.SPECULATORS.B,SHFEMR.TIN.HEDGERS.B,SHFEMR.TIN.SPECULATORS.B,SHFEMR.BUTRUBBER.HEDGERS.B,SHFEMR.BUTRUBBER.SPECULATORS.B,SHFEMR.HOTROLLCOIL.HEDGERS.B,SHFEMR.HOTROLLCOIL.SPECULATORS.B,SHFEMR.STAINLESSSTEEL.HEDGERS.B,SHFEMR.STAINLESSSTEEL.SPECULATORS.B
,Copper: Margin ratio for hedging transactions,Copper: Margin ratio for speculative transactions,Alumina: Margin ratio for hedging transactions,Alumina: Margin ratio for speculative transactions,Lead: Margin ratio for hedging transactions,Lead: Margin ratio for speculative transactions,Zinc: Margin ratio for hedging transactions,Zinc: Margin ratio for speculative transactions,Aluminium: Margin ratio for hedging transactions,Aluminium: Margin ratio for speculative transactions,Gold: Margin ratio for hedging transactions,Gold: Margin ratio for speculative transactions,Nickel: Margin ratio for hedging transactions,Nickel: Margin ratio for speculative transactions,Rebar: Margin ratio for hedging transactions,Rebar: Margin ratio for speculative transactions,Pulp: Margin ratio for hedging transactions,Pulp: Margin ratio for speculative transactions,Natural Rubber: Margin ratio for hedging transactions,Natural Rubber: Margin ratio for speculative transactions,Silver: Margin ratio for hedging transactions,Silver: Margin ratio for speculative transactions,Fuel Oil: Margin ratio for hedging transactions,Fuel Oil: Margin ratio for speculative transactions,Petroleum Asphalt : Margin ratio for hedging transactions,Petroleum Asphalt : Margin ratio for speculative transactions,Wire Rod: Margin ratio for hedging transactions,Wire Rod: Margin ratio for speculative transactions,Tin: Margin ratio for hedging transactions,Tin: Margin ratio for speculative transactions,Butadiene Rubber: Margin ratio for hedging transactions,Butadiene Rubber: Margin ratio for speculative transactions,Hot-rolled Coil: Margin ratio for hedging transactions,Hot-rolled Coil: Margin ratio for speculative transactions,Stainless Steel: Margin ratio for hedging transactions,Stainless Steel: Margin ratio for speculative transactions
2025-01-24,11,12,14,15,11,12,11,12,11,12,14,15,14,15,9,10,10,11,10,11,14,15,11,12,11,12,8,9,14,15,11,12,9,10,9,10
2025-02-05,8,9,11,12,8,9,8,9,8,9,11,12,11,12,6,7,7,8,7,8,11,12,8,9,8,9,8,9,11,12,8,9,6,7,6,7
2025-03-11,,,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-07,,,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10,,,,,,,,,,,12,13,,,,,,,9,10,12,13,10,11,10,11,,,,,,,,,,
2025-04-11,,,,,,,,,,,,,,,,,,,9,10,,,,,,,,,,,10,11,,,,
2025-04-29,11,12,10,11,10,11,10,11,10,11,15,16,13,14,9,10,10,11,12,13,14,15,13,14,13,14,10,11,13,14,13,14,9,10,9,10
2025-05-06,8,9,8,9,8,9,8,9,8,9,13,14,11,12,6,7,7,8,9,10,12,13,10,11,10,11,8,9,11,12,10,11,6,7,6,7
2025-05-29,,,10,11,,,,,,,14,15,,,,,,,,,13,14,,,,,,,,,,,,,,
2025-06-03,,,10,11,,,,,,,13,14,,,,,,,,,13,14,,,,,,,,,,,,,,