Date,Title,URL,Commodity,Entry_Type,Announcement_Type,Hedging_Percentage,Speculative_Percentage,Effective_Date,Adjustment_Type,Operation_Type,Operation_Description,Affected_Parties,Source_Sentence,Parsing_Method,Confidence,Scraped_At,Interest_Score,Interest_Details,Detected_Commodities,Batch_Number
2025-06-24,关于同意深圳市中金岭南有色金属股份有限公司“南华”牌铅锭注册的公告,https://www.shfe.com.cn/publicnotice/notice/202506/t20250624_828152.html,lead,operational_data,other,,,2025-06-24,increased,brand_registration,"Agree to register the ""Nanhua"" brand lead ingots produced by Shenzhen Zhongjin Lingnan Nonferrous Metals Co., Ltd.","Shenzhen Zhongjin Lingnan Nonferrous Metals Co., Ltd.","Agree to register the ""Nanhua"" brand lead ingots produced by Shenzhen Zhongjin Lingnan Nonferrous Metals Co., Ltd. in our institute, with a registered production capacity of 116,000 tons and the imple",Gemini_Enhanced,high,2025-06-26T08:02:50.167386,2.0,excluded_administrative; general_commodities:1; recent_year:2025,,1
2025-06-24,关于同意侯马北铜铜业有限公司“中条山”牌A级铜注册以及注销山西北方铜业有限公司侯马冶炼厂“中条山”牌A级铜注册资质 的公告,https://www.shfe.com.cn/publicnotice/notice/202506/t20250624_828151.html,copper,operational_data,warehouse_operations,,,2025-06-24,increased,warehouse_capacity,"Agree to register the ""Zhongtiaoshan"" brand A- grade copper produced by Houma Beitong Copper Co., Ltd. with a registered production capacity of 200,000 tons and the implementation of the standard pric","Houma Beitong Copper Co., Ltd.; Shanxi Northern Copper Co., Ltd.","Agree to register the ""Zhongtiaoshan"" brand A- grade copper produced by Houma Beitong Copper Co., Ltd. in our institute, with a registered production capacity of 200,000 tons and the implementation of",Gemini_Enhanced,high,2025-06-26T08:02:59.504569,2.0,excluded_administrative; general_commodities:1; recent_year:2025,,1
2025-06-20,关于暂停纸浆期货“Bratsk”牌交割品入库的公告,https://www.shfe.com.cn/publicnotice/notice/202506/t20250620_828125.html,pulp,operational_data,delivery_operations,,,2025-06-20,suspended,delivery_suspension,"Suspension of storage of ""Bratsk"" brand pulp futures delivery products.",,"From the date of this announcement, the delivery products of the bleached kraft softwood pulp futures brand "" Bratsk "" will be suspended from storage, and bleached kraft softwood pulp mill warehouses ",Gemini_Enhanced,high,2025-06-26T08:03:06.716600,19,operational_announcement_title; general_commodities:2; trading_operations:2; recent_year:2025,,1
2025-06-18,关于同意河南豫光金铅股份有限公司等3家注册企业变更产品标识的公告,https://www.shfe.com.cn/publicnotice/notice/202506/t20250618_828100.html,lead,operational_data,quality_standards,,,2025-06-18,adjusted_to,quality_change,"Agree to change the product identification of ""YUGUANG"" brand lead ingots produced by Henan Yuguang Gold and Lead Co., Ltd.","Henan Yuguang Gold and Lead Co., Ltd.","Agree to change the product identification of "" YUGUANG "" brand lead ingots produced by Henan Yuguang Gold and Lead Co., Ltd.",Gemini_Enhanced,high,2025-06-26T08:03:17.674535,2.0,excluded_administrative; general_commodities:1; recent_year:2025,,1
2025-06-18,关于同意河南豫光金铅股份有限公司等3家注册企业变更产品标识的公告,https://www.shfe.com.cn/publicnotice/notice/202506/t20250618_828100.html,copper,operational_data,quality_standards,,,2025-06-18,adjusted_to,quality_change,"Agree to change the product identification of ""Honglu"" brand cathode copper produced by Baiyin Nonferrous Group Co., Ltd.","Baiyin Nonferrous Group Co., Ltd.","Agree to change the product identification of ""Honglu"" brand cathode copper produced by Baiyin Nonferrous Group Co., Ltd.",Gemini_Enhanced,high,2025-06-26T08:03:17.674561,2.0,excluded_administrative; general_commodities:1; recent_year:2025,,1
2025-06-18,关于同意河南豫光金铅股份有限公司等3家注册企业变更产品标识的公告,https://www.shfe.com.cn/publicnotice/notice/202506/t20250618_828100.html,lead,operational_data,quality_standards,,,2025-06-18,adjusted_to,quality_change,"Agree to change the product identification of ""YUNSHA"" brand lead ingots produced by Yunnan Zhenxing Industrial Group Co., Ltd.","Yunnan Zhenxing Industrial Group Co., Ltd.","Agree to change the product identification of "" YUNSHA "" brand lead ingots produced by Yunnan Zhenxing Industrial Group Co. , Ltd.",Gemini_Enhanced,high,2025-06-26T08:03:17.674571,2.0,excluded_administrative; general_commodities:1; recent_year:2025,,1
2025-06-18,关于进一步扩大合格境外投资者参与商品期货、期权交易范围的公告,https://www.shfe.com.cn/publicnotice/notice/202506/t20250618_828096.html,natural_rubber,operational_data,other,,,2025-06-20,increased,contract_modification,Qualified Foreign Investors are now allowed to trade natural rubber futures and options contracts.,,"newly open the following commodity futures and options contracts:
&nbsp; 1. Natural rubber, lead and tin futures contracts.",Gemini_Enhanced,high,2025-06-26T08:03:35.609225,3,general_commodities:1; recent_year:2025,,1
2025-06-18,关于进一步扩大合格境外投资者参与商品期货、期权交易范围的公告,https://www.shfe.com.cn/publicnotice/notice/202506/t20250618_828096.html,lead,operational_data,other,,,2025-06-20,increased,contract_modification,Qualified Foreign Investors are now allowed to trade lead futures and options contracts.,,"newly open the following commodity futures and options contracts:
&nbsp; 1. Natural rubber, lead and tin futures contracts.",Gemini_Enhanced,high,2025-06-26T08:03:35.609268,3,general_commodities:1; recent_year:2025,,1
2025-06-18,关于进一步扩大合格境外投资者参与商品期货、期权交易范围的公告,https://www.shfe.com.cn/publicnotice/notice/202506/t20250618_828096.html,tin,operational_data,other,,,2025-06-20,increased,contract_modification,Qualified Foreign Investors are now allowed to trade tin futures and options contracts.,,"newly open the following commodity futures and options contracts:
&nbsp; 1. Natural rubber, lead and tin futures contracts.",Gemini_Enhanced,high,2025-06-26T08:03:35.609282,3,general_commodities:1; recent_year:2025,,1
2025-06-17,关于同意安徽长江钢铁股份有限公司变更螺纹钢产品标牌及表面标志的公告,https://www.shfe.com.cn/publicnotice/notice/202506/t20250617_828091.html,rebar,operational_data,quality_standards,,,2025-06-17,adjusted_to,quality_change,"Anhui Changjiang Iron and Steel Co., Ltd. changed the product nameplate and surface mark of ""Rongheng"" brand rebar. Products with new labels can generate standard warehouse receipts from the announcem","Anhui Changjiang Iron and Steel Co., Ltd.","Agree to Anhui Changjiang Iron and Steel Co., Ltd. to change the product nameplate and surface mark of "" Rongheng "" brand rebar",Gemini_Enhanced,high,2025-06-26T08:03:44.060855,5,general_commodities:2; recent_year:2025,,1
2025-06-13,关于同意浙江江铜富冶和鼎铜业有限公司“金凤”牌A级铜注册的公告,https://www.shfe.com.cn/publicnotice/notice/202506/t20250613_828053.html,copper,operational_data,other,,,2025-06-13,adjusted_to,quality_change,"Approval of the registration of ""Jinfeng"" brand A-grade copper (Phase III) produced by Zhejiang Jiangxi Tongfuye Heding Copper Co., Ltd., with a registered production capacity of 200,000 tons.","Zhejiang Jiangxi Tongfuye Heding Copper Co., Ltd.","Agree to register the ""Golden Phoenix"" brand A- grade copper (Phase III) produced by Zhejiang Jiangxi Tongfuye Heding Copper Co., Ltd. in our institute, with a registered production capacity of 200,00",Gemini_Enhanced,high,2025-06-26T08:04:00.191989,2.0,excluded_administrative; general_commodities:1; recent_year:2025,,2
2025-06-13,上海国际能源交易中心发布关于《上海国际能源交易中心交割细则》（修订版）的公告,https://www.shfe.com.cn/publicnotice/notice/202506/t20250613_828062.html,No. 20 Rubber,operational_data,contract_modification,,,2025-07-16,adjusted_to,contract_modification,"Starting from the 2508 contract, the delivery settlement price of the No. 20 rubber futures contract is calculated according to the ""arithmetic average of the settlement prices of the last five tradin",,"Starting from the 2508 contract, the delivery settlement price of the No. 20 rubber futures contract is calculated according to the ""arithmetic average of the settlement prices of the last five tradin",Gemini_Enhanced,high,2025-06-26T08:04:09.173604,4,trading_operations:1; official_exchange_announcement; recent_year:2025,,2
2025-06-13,关于发布上海期货交易所黄金、天然橡胶和漂白硫酸盐针叶木浆期货业务细则（修订版）的公告,https://www.shfe.com.cn/publicnotice/notice/202506/t20250613_828061.html,gold,operational_data,contract_modification,,,2025-07-16,adjusted_to,contract_modification,"Starting from the 2508 contract, the delivery settlement price of gold, natural rubber and bleached kraft softwood pulp futures contracts is calculated based on the ""arithmetic average of the settleme",,"Starting from the 2508 contract, the delivery settlement price of gold, natural rubber and bleached kraft softwood pulp futures contracts is calculated based on the ""arithmetic average of the settleme",Gemini_Enhanced,high,2025-06-26T08:04:19.859999,8,rubber_announcement; official_exchange_announcement; recent_year:2025,rubber,2
2025-06-13,关于发布上海期货交易所黄金、天然橡胶和漂白硫酸盐针叶木浆期货业务细则（修订版）的公告,https://www.shfe.com.cn/publicnotice/notice/202506/t20250613_828061.html,natural_rubber,operational_data,contract_modification,,,2025-07-16,adjusted_to,contract_modification,"Starting from the 2508 contract, the delivery settlement price of gold, natural rubber and bleached kraft softwood pulp futures contracts is calculated based on the ""arithmetic average of the settleme",,"Starting from the 2508 contract, the delivery settlement price of gold, natural rubber and bleached kraft softwood pulp futures contracts is calculated based on the ""arithmetic average of the settleme",Gemini_Enhanced,high,2025-06-26T08:04:19.860045,8,rubber_announcement; official_exchange_announcement; recent_year:2025,rubber,2
2025-06-13,关于发布上海期货交易所黄金、天然橡胶和漂白硫酸盐针叶木浆期货业务细则（修订版）的公告,https://www.shfe.com.cn/publicnotice/notice/202506/t20250613_828061.html,pulp,operational_data,contract_modification,,,2025-07-16,adjusted_to,contract_modification,"Starting from the 2508 contract, the delivery settlement price of gold, natural rubber and bleached kraft softwood pulp futures contracts is calculated based on the ""arithmetic average of the settleme",,"Starting from the 2508 contract, the delivery settlement price of gold, natural rubber and bleached kraft softwood pulp futures contracts is calculated based on the ""arithmetic average of the settleme",Gemini_Enhanced,high,2025-06-26T08:04:19.860066,8,rubber_announcement; official_exchange_announcement; recent_year:2025,rubber,2
2025-06-09,关于铸造铝合金期货合约上市挂牌基准价的通知,https://www.shfe.com.cn/publicnotice/notice/202506/t20250609_827997.html,cast_aluminum_alloy,operational_data,other,,,2025-06-09,adjusted_to,contract_modification,"The listing base price for AD2511, AD2512, AD2601, AD2602, AD2603, AD2604 and AD2605 contracts is RMB 18,365 / ton.",,"The listing base price for AD2511 , AD2512 , AD2601 , AD2602 , AD2603 , AD2604 and AD2605 contracts is RMB 18,365 / ton.",Gemini_Enhanced,high,2025-06-26T08:04:33.591423,5,general_commodities:2; recent_year:2025,,2
2025-06-09,关于同意中基宁波集团股份有限公司等3家石油沥青期货贸易商厂库调整提货点及库容的公告,https://www.shfe.com.cn/publicnotice/notice/202506/t20250609_827990.html,petroleum_asphalt,operational_data,warehouse_operations,,,2025-06-09,increased,warehouse_capacity,"China-based Ningbo's pick-up points at Yingkou Temao Petrochemical Co., Ltd. and Jiangsu Xinyue Asphalt Co., Ltd. were cancelled. Jinhai Hongye (Zhenjiang) Asphalt Co., Ltd.'s storage capacity increas","China-based Ningbo Group Co., Ltd.; Yingkou Temao Petrochemical Co., Ltd.; Jiangsu Xinyue Asphalt Co., Ltd.; Jinhai Hongye (Zhenjiang) Asphalt Co., Ltd.; Shandong Expressway Material Storage and Transportation Co., Ltd.; Shandong Expressway Huarui Road Material Technology Co., Ltd.","Agree to China-based Ningbo will increase the storage capacity of Jinhai Hongye (Zhenjiang) Asphalt Co., Ltd. (hereinafter referred to as Jinhai Hongye) to 25,000 tons.",Gemini_Enhanced,high,2025-06-26T08:04:49.501463,15,petroleum_announcement; bitumen_announcement; trading_operations:2; recent_year:2025,petroleum; bitumen,2
2025-06-09,关于同意中基宁波集团股份有限公司等3家石油沥青期货贸易商厂库调整提货点及库容的公告,https://www.shfe.com.cn/publicnotice/notice/202506/t20250609_827990.html,petroleum_asphalt,operational_data,warehouse_operations,,,2025-06-09,remains_at,warehouse_capacity,"Zhejiang Sibang's pick-up point at Yingkou Temao Petrochemical Co., Ltd. was cancelled. Jinhai Hongye (Zhenjiang) Asphalt Co., Ltd. was added as a pick-up point with 5,000 tons capacity. Zhejiang Siba","Zhejiang Sibang Industrial Co., Ltd.; Yingkou Temao Petrochemical Co., Ltd.; Jinhai Hongye (Zhenjiang) Asphalt Co., Ltd.","Agree to Zhejiang Sibang to add a new Jinhai Hongye pick-up point, which has a storage capacity of 5,000 tons; after the adjustment, Zhejiang Sibang's approved storage capacity and activated storage c",Gemini_Enhanced,high,2025-06-26T08:04:49.501516,15,petroleum_announcement; bitumen_announcement; trading_operations:2; recent_year:2025,petroleum; bitumen,2
2025-06-09,关于同意中基宁波集团股份有限公司等3家石油沥青期货贸易商厂库调整提货点及库容的公告,https://www.shfe.com.cn/publicnotice/notice/202506/t20250609_827990.html,petroleum_asphalt,operational_data,warehouse_operations,,,2025-06-09,remains_at,warehouse_capacity,"Yongan Capital's pick-up point at Yingkou Temao Petrochemical Co., Ltd. was cancelled. Jinhai Hongye (Zhenjiang) Asphalt Co., Ltd. was added as a pick-up point with 5,000 tons capacity. Yongan Capital","Zhejiang Yongan Capital Management Co., Ltd.; Yingkou Temao Petrochemical Co., Ltd.; Jinhai Hongye (Zhenjiang) Asphalt Co., Ltd.","Agree to Yongan Capital to add a new Jinhai Hongye pick-up point, which has a storage capacity of 5,000 tons; after the adjustment, Yongan Capital's approved storage capacity and activated storage cap",Gemini_Enhanced,high,2025-06-26T08:04:49.501542,15,petroleum_announcement; bitumen_announcement; trading_operations:2; recent_year:2025,petroleum; bitumen,2
2025-06-06,Announcement on restricting opening positions for some customers,https://www.shfe.com.cn/publicnotice/notice/202506/t20250606_827980.html,hot rolled coil,operational_data,other,,,2025-06-06,suspended,position_limit,"The account group of ×× Company (04865948) (account group number: B0006802) exceeded the limit of intraday opening trading volume in the hot-rolled coil futures (HC) 2510 contract, reaching the exchan",×× Company,"On June 6, 2025 , the account group of ×× Company ( 04865948 ) (account group number : B0006802 ) exceeded the limit of intraday opening trading volume in the hot-rolled coil futures ( HC ) 2510 contr",Gemini_Enhanced,high,2025-06-26T08:05:04.089779,3,general_commodities:1; recent_year:2025,,3
2025-06-06,"Announcement on Approval of Xiamen C&D Storage Co., Ltd. to Suspend Qualification as a Pulp Futures Delivery Warehouse Storage Point",https://www.shfe.com.cn/publicnotice/notice/202506/t20250606_827973.html,pulp,operational_data,delivery_operations,,,2025-06-06,suspended,delivery_suspension,"Suspend the qualification of Xiamen C&D Warehousing Co., Ltd. as a pulp futures delivery warehouse storage point located at No. 37, Chuangye West Road, Mayong Town, Dongguan City, Guangdong Province. ","Xiamen C&D Warehousing Co., Ltd.","Agree to suspend the qualification of Xiamen C&D Warehousing Co., Ltd. as a pulp futures delivery warehouse storage point located at No. 37, Chuangye West Road, Mayong Town, Dongguan City, Guangdong P",Gemini_Enhanced,high,2025-06-26T08:05:12.854347,15,operational_announcement_context; general_commodities:2; trading_operations:4; recent_year:2025,,3
2025-06-05,Announcement on the approval of the first batch of designated inspection agencies for cast aluminum alloy futures,https://www.shfe.com.cn/publicnotice/notice/202506/t20250605_827966.html,cast aluminum alloy,operational_data,other,,,2025-06-05,adjusted_to,quality_standards,Approval of the first batch of designated inspection agencies for cast aluminum alloy futures.,"Shanghai Customs Industrial Products and Raw Materials Testing Technology Center; Changsha Institute of Mining and Metallurgy Testing Technology Co., Ltd.; Beikuang Testing Technology Co., Ltd.; Shibiao Testing Technology (Tianjin) Co., Ltd.","Agree to Shanghai Customs Industrial Products and Raw Materials Testing Technology Center, Changsha Institute of Mining and Metallurgy Testing Technology Co., Ltd., Beikuang Testing Technology Co., Lt",Gemini_Enhanced,high,2025-06-26T08:05:26.581984,5,general_commodities:2; recent_year:2025,,3
2025-06-05,Announcement on the approval of the first batch of registered brands for cast aluminum alloy futures,https://www.shfe.com.cn/publicnotice/notice/202506/t20250605_827965.html,cast aluminum alloy,operational_data,other,,,2025-06-05,adjusted_to,brand_registration,The first batch of registered brands for cast aluminum alloy futures has been approved.,"Jiangsu Lizhong New Material Technology Co., Ltd.; Guangdong Longda Aluminum Co., Ltd.; Chongqing Shunbo Aluminum Alloy Co., Ltd.; Guangdong Shunbo Aluminum Alloy Co., Ltd.; Shunbo Alloy Anhui Co., Ltd.; Shunbo Aluminum Alloy Hubei Co., Ltd.; Anhui Yongmaotai Aluminum Co., Ltd.; Shuaiyichi New Materials Group Co., Ltd.; Shuaiyi Chi Aluminum Alloy New Materials (Chongqing) Co., Ltd.; Shuaiyichi (Henan) New Material Technology Co., Ltd.; Nantong Hongjin Metal Aluminum Co., Ltd.; Wuhan Hongjin Metal Aluminum Co., Ltd.; Guangdong Hongbang Metal Aluminum Co., Ltd.; Guangdong Hongjin Metal Aluminum Co., Ltd.; Guangdong Huajin Metal Profile Co., Ltd.; Chongqing Jiantao Aluminum Co., Ltd.; Chongqing Xinge Nonferrous Metals Co., Ltd.; Zhejiang Xinge Nonferrous Metals Co., Ltd.; Zhejiang Judong Co., Ltd.; Lanxi Boyuan Metal Co., Ltd.; Shandong Hongshun Recycling Technology Co., Ltd.; Zhaoqing Dazheng Aluminum Co., Ltd.; Guangdong Huihuang Metal Products Co., Ltd.; Zhaoqing Nandu Recycled Aluminum Co., Ltd.; Jiangxi Jinfeng Metal Products Co., Ltd.; Jiangxi Hongcheng Aluminum Co., Ltd.; Jiangxi Wantai Aluminum Co., Ltd.; Nantong Zhongfu New Material Technology Co., Ltd.; Hubei New Jinyang Resources Group Co., Ltd.; Qinghai Guangtai New Metal Materials Co., Ltd.; Linyi Lixin Aluminum Co., Ltd.; Taihu County Guanghua Aluminum Co., Ltd.; Shuaiyichi (Anhui) New Material Technology Co., Ltd.; Anhui Lixing Aluminum Technology Co., Ltd.","According to the relevant provisions of the Shanghai Futures Exchange Cast Aluminum Alloy Futures Contract, the Shanghai Futures Exchange Delivery Management Measures and the Shanghai Futures Exchange",Gemini_Enhanced,high,2025-06-26T08:05:40.563144,5,general_commodities:2; recent_year:2025,,3
2025-06-05,Announcement on the approval of the first batch of delivery warehouses for cast aluminum alloy futures,https://www.shfe.com.cn/publicnotice/notice/202506/t20250605_827964.html,cast aluminum alloy,operational_data,warehouse_operations,,,2025-09-22,increased,warehouse_capacity,Approval of the first batch of delivery warehouses and group delivery centers for cast aluminum alloy futures.,"China Storage Development Co., Ltd.; China Minmetals Wuxi Logistics Park Co., Ltd.; Xiamen C&D Warehousing Co., Ltd.; Zhejiang Jianfeng Supply Chain Co., Ltd.; Chongqing Free Trade Zone Gangxin Asset Management Co., Ltd.; Suining Tiancheng High-tech Logistics Co., Ltd.; Shi Tianwei Logistics (Shanghai Waigaoqiao Bonded Logistics Park) Co., Ltd.; Guangdong Ju Shen Warehousing Co., Ltd.; Changzhou Rongda Modern Logistics Co., Ltd.; COSCO Shipping Logistics Supply Chain Co., Ltd.; Chongqing COSCO Shipping Logistics Co., Ltd.","In accordance with the ""Shanghai Futures Exchange Delivery Warehouse Management Measures"" and relevant business rules, after research, it is agreed that China Storage Development Co., Ltd., China Minm",Gemini_Enhanced,high,2025-06-26T08:05:51.774134,7,general_commodities:2; trading_operations:2; recent_year:2025,,3
2025-05-30,"Announcement on Cancelling the Delivery Warehouse Qualifications of Yingkou Temao Petrochemical Co., Ltd. and Two Other Units",https://www.shfe.com.cn/publicnotice/notice/202505/t20250530_827921.html,petroleum asphalt,operational_data,delivery_operations,,,2025-05-30,suspended,delivery_suspension,"Cancel the qualification of Yingkou Temao Petrochemical Co., Ltd. as a petroleum asphalt futures delivery warehouse.","Yingkou Temao Petrochemical Co., Ltd.","Cancel the qualification of Yingkou Temao Petrochemical Co., Ltd. (hereinafter referred to as Yingkou Temao) as a petroleum asphalt futures delivery warehouse;",Gemini_Enhanced,high,2025-06-26T08:06:07.275707,3,trading_operations:2; recent_year:2025,,3
2025-05-30,"Announcement on Cancelling the Delivery Warehouse Qualifications of Yingkou Temao Petrochemical Co., Ltd. and Two Other Units",https://www.shfe.com.cn/publicnotice/notice/202505/t20250530_827921.html,petroleum asphalt,operational_data,delivery_operations,,,2025-05-30,suspended,delivery_suspension,"Cancel the qualification of Jiangsu Hengtai Asphalt Co., Ltd. as a petroleum asphalt futures delivery warehouse.","Jiangsu Hengtai Asphalt Co., Ltd.","Cancel the qualification of Jiangsu Hengtai Asphalt Co., Ltd. (hereinafter referred to as Jiangsu Hengtai) as a petroleum asphalt futures delivery warehouse;",Gemini_Enhanced,high,2025-06-26T08:06:07.275761,3,trading_operations:2; recent_year:2025,,3
2025-05-27,Shanghai International Energy Exchange issued a notice on the work arrangements during the Dragon Boat Festival in 2025,https://www.shfe.com.cn/publicnotice/notice/202505/t20250527_827893.html,European Line,margin_data,margin_adjustment,20,20,2025-05-29,adjusted_to,,,,"The price limit range of the container shipping index (European line) futures contract was adjusted to 18% , and the trading margin ratio was adjusted to 20% .",Gemini_Enhanced,high,2025-06-26T08:06:24.796706,3,official_exchange_announcement; recent_year:2025,,3
2025-05-27,Shanghai International Energy Exchange issued a notice on the work arrangements during the Dragon Boat Festival in 2025,https://www.shfe.com.cn/publicnotice/notice/202505/t20250527_827893.html,European Line,margin_data,margin_adjustment,20,20,2025-06-03,adjusted_to,,,,"The price limit of the container shipping index (European line) futures contract remains at 18% , and the trading margin ratio remains at 20% .",Gemini_Enhanced,high,2025-06-26T08:06:24.796765,3,official_exchange_announcement; recent_year:2025,,3
2025-05-27,Announcement on restricting opening positions for some customers,https://www.shfe.com.cn/publicnotice/notice/202505/t20250527_827884.html,copper,operational_data,other,,,2025-05-27,suspended,position_limit,The exchange decided to take regulatory measures to restrict the opening of positions for 5 trading days for the relevant customers on the corresponding contracts.,×× Company (01848937) (account group number: B0007201),The exchange decided to take regulatory measures to restrict the opening of positions for 5 trading days for the relevant customers on the corresponding contracts .,Gemini_Enhanced,high,2025-06-26T08:06:37.721987,3,general_commodities:1; recent_year:2025,,3
2025-05-27,Notice on Soliciting Domestic Cast Aluminum Alloy Futures Delivery Commodities,https://www.shfe.com.cn/publicnotice/notice/202505/t20250527_827874.html,aluminum,operational_data,other,,,2025-05-27,,contract_modification,Soliciting qualified domestic cast aluminum alloy futures delivery commodities.,,"In order to prepare for the listing of cast aluminum alloy futures, we are now publicly soliciting qualified domestic cast aluminum alloy futures delivery commodities from the whole society.",Gemini_Enhanced,high,2025-06-26T08:06:44.622854,8,general_commodities:3; trading_operations:1; recent_year:2025,,4
2025-05-27,Notice on Soliciting Delivery Warehouses for Cast Aluminum Alloy Futures,https://www.shfe.com.cn/publicnotice/notice/202505/t20250527_827873.html,cast_aluminum_alloy,operational_data,warehouse_operations,,,2025-05-27,increased,warehouse_capacity,"Soliciting delivery warehouses for cast aluminum alloy futures. Planned to be established in major consumption areas and logistics distribution centers such as Zhejiang, Guangdong, Jiangsu, Shanghai, ",,"In order to prepare for the listing of cast aluminum alloy futures, we are now publicly soliciting qualified cast aluminum alloy futures delivery warehouses from the whole society.",Gemini_Enhanced,high,2025-06-26T08:06:51.857755,9,general_commodities:3; trading_operations:2; recent_year:2025,,4
2025-05-27,"Announcement on the Release of the ""Shanghai Futures Exchange SHFE Integrated Business Platform Standard Warehouse Receipt Trading Business Regulations (Revised Version)"" and Other Business Regulations",https://www.shfe.com.cn/publicnotice/notice/202505/t20250527_827871.html,natural_rubber,operational_data,warehouse_operations,,,2025-06-27,increased,warehouse_capacity,Revised business regulations for Natural Rubber Extended Warehouse Receipt Trading.,,"the Shanghai Futures Exchange has revised its business regulations, including the ""Shanghai Futures Exchange Natural Rubber Extended Warehouse Receipt Trading Business Regulations (Trial) (Revised Ver",Gemini_Enhanced,high,2025-06-26T08:07:01.583284,6,general_commodities:1; trading_operations:1; official_exchange_announcement; recent_year:2025,,4
2025-05-26,"Announcement on the Release of the ""Regulations on the Administration of Nonferrous Metals Delivery Commodities of the Shanghai Futures Exchange"" (revised version in May 2025)",https://www.shfe.com.cn/publicnotice/notice/202505/t20250526_827856.html,cast aluminum alloy,operational_data,quality_standards,,,2025-05-26,adjusted_to,quality_change,"Revised the ""Regulations on the Administration of Nonferrous Metals Delivery Commodities of the Shanghai Futures Exchange"" (revised version in August 2022), impacting delivery commodity management.",,"In order to ensure the smooth operation of cast aluminum alloy futures of the Shanghai Futures Exchange, strengthen the management of futures delivery commodities, and safeguard the legitimate rights ",Gemini_Enhanced,high,2025-06-26T08:07:09.921428,6,general_commodities:1; trading_operations:1; official_exchange_announcement; recent_year:2025,,4
2025-05-26,Notice on the listing and delivery of cast aluminum alloy futures,https://www.shfe.com.cn/publicnotice/notice/202505/t20250526_827855.html,cast aluminum alloy,operational_data,other,,,2025-05-26,,listing,"Notice on the listing and delivery of cast aluminum alloy futures. Delivery fee waived until December 31, 2025 (except for high-frequency traders). Storage rental: RMB 1/ton/day (indoor warehouse). Ca",,"In order to ensure the smooth operation of cast aluminum alloy futures listing, in accordance with the ""Shanghai Futures Exchange Delivery Management Measures"", ""Shanghai Futures Exchange Cast Aluminu",Gemini_Enhanced,high,2025-06-26T08:07:21.082244,8,general_commodities:3; trading_operations:1; recent_year:2025,,4
2025-05-26,Notice on the listing and delivery of cast aluminum alloy futures,https://www.shfe.com.cn/publicnotice/notice/202505/t20250526_827855.html,cast aluminum alloy,operational_data,other,,,2025-12-31,,fee_waiver_expiration,Delivery fee waiver expires.,,"From the date of listing to December 31, 2025 , the delivery fee will be temporarily waived (including businesses such as futures to spot and standard warehouse receipt transfer that are settled throu",Gemini_Enhanced,high,2025-06-26T08:07:21.082283,8,general_commodities:3; trading_operations:1; recent_year:2025,,4
